Column1,欄1
您的二手拍賣帳號被停權，因為涉及洗錢，請聯繫客服。 , 這很可能是詐騙電話！請直接掛斷電話，不要提供任何個人資料或操作任何指示。 ,80
你好，我是你姪子，我換手機號碼了，原本那支停用了。 , 這個可能是詐騙電話！不要透露任何個人資訊，直接掛斷即可。 ,80
我是你在交友軟體認識的那個香港總裁，記得我嗎？我想帶你一起賺錢。 , 這很可能是詐騙電話！直接掛斷電話就好，不要理會。 ,60
我是蝦皮賣家，不好意思，工讀生不小心把您的訂單設定成連續扣款12個月。 , 這是詐騙電話！請不要提供任何個人資訊或信用卡資料，直接掛斷電話即可。 ,80
你好，我們是投資顧問公司，老師帶你操作比特幣，穩賺不賠。 , 這很可能是詐騙電話！直接掛斷電話，不要提供任何個人資訊或金錢。 ,80
快點，老師說現在馬上買進，十分鐘後準時賣出，做短線價差。 , 這很可能是詐騙電話！千萬不要聽信陌生人投資建議，更不要隨意提供個人資料或轉帳。 ,80
我是警衛，有警察拿著搜索票要進來搜您家，您現在在家嗎？ , 這很可能是詐騙電話！**請直接掛斷電話，不要提供任何個人資訊。** ,80
快遞通知，您的包裹裡面有違禁品，被海關扣留了，要繳罰款才能領。 , 這是詐騙電話！直接掛斷即可，切勿提供任何個人資料或付款。 ,80
寶貝，你是我這輩子遇過最特別的人，我不希望你因為沒錢而受苦，快跟著我投資。 , 這Clearly is a scam!  **直接掛斷電話，不要理會他。** 這種話術很常見，千萬不要被騙了。 ,60
只要拉三個朋友進來投資，你就可以升級成鑽石會員，領取更高的佣金。 , 這很可能是詐騙電話！千萬不要相信這種「拉人頭」賺錢的說法，避免被騙財。,80
我是你孫子啦，我在外面跟人家打架，現在在警察局，急需保釋金。 , 千萬不要被騙！這種是常見的詐騙手法，要立即掛斷電話，並向家人確認孫子的狀況。 ,80
我是你姪女，姑姑我手機壞了，這是我朋友的電話，能先借我五千嗎？ , 這種情況很可能是詐騙電話，絕對不要匯款！可以詢問對方一些只有你和姪女才知道的事情，確認身份真偽。 ,80
同學，我是教務處，你的學費減免申請少蓋一個章，去提款機操作補正。 , 這是詐騙電話！絕不應按照指示操作，直接掛斷電話即可。 ,80
您的Line Pay帳戶顯示異常登入，為了安全請點擊連結重新驗證。 , 這是一通詐騙電話！千萬不要點擊任何連結，並立即掛斷電話。 ,80
我們發現博弈網站的後台有漏洞，只要跟著我們的程式下注，絕對穩賺不賠。 , 這很可能是詐騙電話！切勿相信，直接掛斷即可。 ,60
我是你很久沒見的親戚，我現在在機場錢包不見了，借我一點錢。 , 這很可能是詐騙電話！不要輕易透露個人資訊或匯款給陌生人。  ,80
我是虛擬貨幣大戶，我現在要散財做公益，轉一顆以太幣給我，我還你十顆。 , 這是一 typical 的詐騙電話！千萬不要把你的以太幣給他，直接掛斷電話就好。 ,80
我是Line Pay客服，您的帳號被偵測到異常登入，請提供驗證碼解除鎖定。 , 這是一個詐騙電話！切勿提供任何驗證碼或個人資訊給來電者。 ,80
我是你的理財專員，現在有個限時方案，只要投入十萬，下個月領回十二萬。 , 這很可能是詐騙電話！千萬不要輕信，直接掛斷電話即可。 ,60
老婆，這是我千辛萬苦才爭取到的投資名額，千萬不要浪費。 , 這很可能是詐騙電話！別聽信任何投資名額的說法，直接掛斷電話即可。 ,80
我是蝦皮資安人員，發現有駭客正在嘗試更改您的銀行帳號，請立刻攔截。 , 這很可能是詐騙電話！切勿提供任何個人資訊或操作手機，直接掛斷電話即可。 ,80
我是地檢署檢察官，為了偵查不公開，你不能跟任何人說這通電話的內容。 , 這是一通詐騙電話！直接掛斷電話即可，不要透露任何個人資訊。 ,80
我是你以前的鄰居，我最近手頭緊，能不能借我五千塊買菜？ , 這種情況很可能是詐騙電話！切勿輕易透露個人資訊或匯款給陌生人，並立即掛斷電話。 ,80
法院傳票通知：您涉及詐欺案，開庭時間是明天上午，不到庭就拘提。 , 這是一個常見的詐騙電話！請**切勿理會**，並將電話號碼記錄下來，可以向警方報案。 ,60
寶貝，只要這次投資成功，我們就可以在台北買房子，過我們想要的生活。 , 這很可能是詐騙電話！不要相信陌生人，切勿透露個人資訊或匯款給對方。 ,100
姑姑，我是小陳啦，我現在在醫院，急需一筆手術保證金，能不能先借我？ , 這很可能是詐騙電話！請不要輕易相信，直接掛斷電話，並向家人確認姑姑是否真的需要幫助。 ,80
寶貝，這是我要在退休後帶你環遊世界的基金，你先幫我保管一下。 , 這是常見的詐騙手法！絕對不要相信，直接掛斷電話即可。 ,60
您的訂單被系統誤判為詐騙，需要您轉帳一筆錢來證明信用。 , 這絕對是詐騙電話！切勿轉帳任何款項，直接掛斷電話並將號碼封鎖。 ,0
您的健保卡被盜用去領管制藥品，現在警察要過去抓你了，不想留案底就快點和解。 , 這是一起詐騙電話，請直接掛斷！切勿提供任何個人資訊或匯款。 ,80
只要先繳交保險費，就可以獲得這份高風險高報酬的工作。 , 這很可能是詐騙電話！切勿輕信，不要提供任何個人資料或匯款。 ,80
你好，我是投資顧問公司的陳經理，我們現在有一個針對VIP客戶的飆股佈局。 , 這很可能是詐騙電話，直接掛斷即可，不要聽信任何投資建議。 ,80
我是你姪子啦，姑姑你忘記我了嗎？我騎車撞到人，急需和解金。 , 這很可能是詐騙電話！不要給予任何金錢或個人資訊，立刻掛斷電話並通知家人朋友。 ,80
這檔虛擬貨幣是下一個比特幣，現在進場剛好是起漲點，保證獲利300%。 , 這是常見的投資詐騙！請直接掛斷電話，不要相信任何保證獲利的投資方案。 ,80
健保局通知：您的健保卡違規借給他人使用，即將停權。 , 這是常見的詐騙電話！請**直接掛斷**，不要提供任何個人資訊。 ,80
猜猜我是誰？聽不出來喔？我們上次在同學會見過啊，你聲音怎麼變了？ , 這很可能是詐騙電話，不要透露任何個人資訊，直接掛斷即可。 ,80
您訂購的電影票因為系統維護，需要取消訂單並退款。 , 這很可能是詐騙電話！請直接掛斷電話，不要提供任何個人資訊或按任何指示。 ,80
我是亞馬遜客服，您有一筆跨國訂單金額過大，需要您確認是否為本人操作。 , 這應該是詐騙電話！不要提供任何個人資訊或信用卡資料，直接掛斷電話即可。,80
我是你在IG上認識的那個模特兒，我現在沒錢吃飯了，請我吃飯好嗎？ , 這個可能是詐騙電話！不要理會他，直接掛斷電話即可。 ,60
我是地檢署，現在懷疑你涉及詐欺，請不要掛斷電話。 , 這很可能是詐騙電話！**直接挂???，不要与?方有任何交流。** 地檢署不會以這種方式通知嫌疑人，如果有任何法律問題，請直接至地檢署查詢或諮詢律師。 ,80
媽，我跟朋友在外面出事了，現在在警察局，需要保釋金。 , 這很可能是詐騙電話！不要輕易匯款，立刻掛斷電話並向家人或警方求證。 ,80
我們需要你幫忙代操股票，虧損算公司的，賺錢分你一成。 , 這很可能是詐騙電話！千萬不要相信，直接掛斷即可。 ,60
您的Line Pay帳戶出現異常登入，為了防止盜刷，請提供剛剛收到的六位數驗證碼。 , 這是詐騙電話！千萬不要提供任何驗證碼給對方。直接掛斷電話即可。 ,80
法院通知：您的不動產即將被法拍，若有異議請立刻聯繫執行官。 , 這很可能是詐騙電話！不要理會，切勿提供任何個人資訊或匯款給對方。 ,80
我是某某遊戲客服，您的帳號涉嫌使用外掛，請繳納保證金解凍。 , 這是一個常見的遊戲詐騙手法，千萬不要相信！切勿提供任何個人資料或支付任何款項。 ,80
海關通知：您的包裹裡面有未申報的黃金，涉嫌走私，請配合調查。 , 這很可能是詐騙電話！請直接掛斷電話，不要提供任何個人信息或付款。 ,0
為了我們結婚的夢想，你要勇敢一點，去貸款來投資也是值得的。 , 這Clearly 是詐騙電話！絕對不要相信，更不要提供任何個人資料或金錢。 直接掛斷電話即可,80
你好，我是之前幫你辦保險的專員，現在有新的優惠方案。 , 這是常見的詐騙手法，不要透露任何個人資料，直接掛斷電話即可。 ,80
我是你的真命天子，雖然我們相隔兩地，但心是在一起的，借我五萬好嗎？ , 這很明顯是詐騙電話，直接掛斷即可！不要相信任何未經確認的電話請求金錢。 ,80
喂？老朋友，我最近剛換工作，手頭有點緊，借個三千過兩天還你。 , 這很可能是詐騙電話！直接掛斷即可，不要理會對方。 ,60
我是您孩子的補習班老師，他剛剛受傷送醫了，需要先繳醫藥費。 , 這很可能是詐騙電話！請不要輕易透露任何個人資訊或匯款，並立即掛斷電話。  ,80
這檔未上市股票有內線消息，主力大戶已經在收籌碼了，要跟要快。 , 這很可能是詐騙電話，千萬不要相信！切勿透露任何個人資訊或財務資料，並立即掛斷電話。 ,80
先生你好，我是虛擬貨幣交易所的客服，您的錢包因為風險控管被凍結了。 , 這很可能是詐騙電話！請直接掛斷電話，不要提供任何個人資料或資金交易資訊。 ,80
這裡是刑事局，我們查獲詐騙集團名冊有您的名字，請不要掛斷，轉接檢察官說明。 , 這是一通詐騙電話！切勿接聽，直接掛斷即可。 台灣刑事局不會以這種方式通知民眾，如有任何疑問，可撥打110報警查詢。,100
我是台電通知，您的電費沒繳，請按0轉接客服。 , 這是詐騙電話！不要按任何數字，直接掛斷電話即可。 ,80
如果不立刻解除分期付款設定，銀行會在午夜十二點準時扣款喔。 , 這種電話很可能是詐騙！絕對不要相信，直接掛斷電話就好。 ,60
您的信用卡剛剛在PChome刷了一筆兩萬元的消費，系統判定為異常交易。 , 這是詐騙電話！請立即掛斷電話，並聯絡您的銀行或信用卡公司確認交易狀況。 ,80
我是你孫子，我跟人打架要賠錢，阿公你快點匯錢救我。 , 別慌！這種是常見的詐騙手法，千萬不要輕易匯款，趕快掛電話並通知家人確認。 ,80
您的訂房網訂單重複扣款，我們會退款給您，請按照指示操作提款機。 , 這是詐騙電話！千萬不要按指示操作，並立即掛斷電話。 ,80
喂？我是玉山銀行信貸部的陳專員，我們現在有針對優質客戶的低利貸款方案。 , 這很可能是詐騙電話！直接掛斷電話就好，不要透露任何個人資訊。 ,80
我們公司在招募加密貨幣操盤手，不用經驗，老師會帶你操作，獲利對分。 , 這是常見的加密貨幣詐騙手法，千萬不要相信！直接掛斷電話即可。 ,80
我是電信警察，偵測到您的寬頻網路正在散佈惡意病毒，請立刻配合檢查。 , 這很可能是詐騙電話！切勿提供任何個人資料或操作電腦，直接掛斷電話即可。 ,80
我們是代操公司，虧損由公司吸收，獲利我們五五分帳，你完全沒風險。 , 這Clearly is a fraudulent scheme! 直接挂???，切勿提供任何?人信息或?金。 ,80
猜猜我是誰？我是你當兵的學長啦，最近手頭有點緊，能不能借點錢週轉？ , 這很可能是詐騙電話！  不要透露任何個人資訊，直接掛斷電話即可。 ,80
我是檢察官，現在依法凍結您的所有資產，請將資金轉入公正監管帳戶。 , 這是一通詐騙電話！切勿理會，直接掛斷即可。 別聽信任何要求轉帳或提供個人信息的電話，真正的公務人員不會這樣做。,80
您的Line Pay涉及洗錢，我們現在要遠端監控您的手機，請下載TeamViewer。 , 這是一通詐騙電話！絕對不要下載TeamViewer或提供任何個人資訊給對方。 ,80
先生你好，我是你女兒的學校教官，她現在涉及偷竊被留置，請家長處理。 , 這很可能是詐騙電話！**請立即掛斷電話，不要提供任何個人資訊或金錢。**  你可以聯絡女兒學校確認情況，或是報警處理。 ,80
我是百貨公司客服，您遺失的信用卡被人在這裡刷了五萬。 , 這很可能是詐騙電話！切勿提供任何個人資訊或信用卡資料，立刻掛斷電話並撥打信用卡發卡銀行客服確認。 ,100
這是灰產工作，雖然遊走法律邊緣，但是獲利非常高，敢不敢拚？ , 這 Clearly 是詐騙電話！直接掛斷，不要理會。 ,60
我是你的網戀對象John，我的女兒突然生病了，急需醫藥費，拜託你幫幫我。 , 這很可能是詐騙電話！不要輕易匯款給陌生人，建議直接掛斷電話。 ,0
相信我一次，我不會拿自己的信譽開玩笑，這檔股票絕對會噴。 , 這很可能是詐騙電話！千萬不要相信陌生人投資建議，更不要輕易透露個人財務資訊。 ,80
只要你加入我們的LINE群組，每天晚上八點都有老師直播教學，完全免費。 , 這很可能是詐騙電話！不要加入任何不明來源的LINE群組，更不要提供個人資料或財務資訊給陌生人。 ,80
如果不配合我們調查，你的所有資產都會被法院查封。 , 這是一個詐騙電話！請直接掛斷電話，不要提供任何個人資訊或配合他們的「調查」。 ,80
我是亞馬遜安全部門，您的帳號有一筆異常的高額訂單，請確認是否為盜刷。 , 不要提供任何個人資訊或信用卡資料給對方！直接掛斷電話並聯絡亞馬遜官方客服確認。 ,80
您的車貸逾期未繳，我們已經向法院申請強制拖吊，請立刻匯款。 , 這很可能是詐騙電話！切勿理會，並可撥打銀行或金融機構客服專線確認是否為真。 ,80
我是公家機關，通知您有一筆老人年金可以領取，請提供存摺影本。 , 這應該是詐騙電話！絕對不要提供任何個人資料，包括存摺影本，並立即掛斷電話。 ,80
您的虛擬貨幣錢包涉及黑錢，請將幣轉到我們的審查地址。 , 這是一通詐騙電話！切勿將任何虛擬貨幣轉移給對方。 ,80
我是交友軟體認識的John，我寄給你的禮物卡在海關，要付關稅。 , 這很可能是詐騙電話！切勿匯款或提供任何個人資訊給對方。 ,80
您的蝦皮賣場因為沒有簽署金流協議，導致無法收款，請聯繫客服處理。 , 這應該是詐騙電話！蝦皮官方不會主動致電要求簽署金流協議，直接掛斷電話即可。 ,80
我是郵局，您的掛號信裡面有違禁品，現在警察要過去找您了。 , 這是一個常見的詐騙電話，請直接挂斷！切勿提供任何個人資訊或匯款。 ,80
你好，我是虛擬貨幣投資顧問，現在比特幣大跌是進場好時機。 , 這很可能是詐騙電話！不要理會，直接掛斷即可。 ,60
我們是海外知名的外匯交易平台，現在開戶入金就送你一千美金的體驗金。 , 這很可能是詐騙電話！千萬不要提供任何個人資訊或金錢，直接掛斷電話即可。 ,80
我是你姪子，我現在出車禍了不敢跟家裡講，姑姑你先借我醫藥費。 , 這很可能是詐騙電話！不要輕易匯款，要先確認對方身份或致電家人查證。 ,80
你好，我是網拍小幫手，因為訂單誤植為12期分期，請依照指示解除。 , 這很可能是詐騙電話！切勿提供任何個人資料或按照指示操作，直接掛斷電話即可。 ,80
我是中華電信客服，您的室內電話積欠費用，將在兩小時後停話。 , 不要理這種電話！中華電信不會以這種方式通知繳費，如果有問題請直接撥打中華電信官方客服電話確認。 ,100
您的網購訂單因為沒有通過實名認證，現在帳號被凍結，請提供個資解鎖。 , 這是一通詐騙電話！千萬不要提供任何個人資料，直接掛斷電話即可。 ,80
我是您公司的系統管理員，請告訴我您的登入密碼，我要做例行檢查。 , 這是一個常見的詐騙電話！絕對不要告訴對方您的密碼，並立即掛斷電話。 ,80
我是國稅局，您去年的所得稅有重複繳納的情況，現在要幫您辦理退稅。 , 這是詐騙電話！請立即掛斷電話，切勿提供任何個人資料或匯款。 ,80
我是交易所客服，因為您的操作涉及洗錢，我們必須暫時保管您的資金。 , 這通電話是詐騙！絕對不要提供任何個人資訊或操作?金，立即挂???并?打官方交易所客服??确?情?。,80
親愛的，我不想看你每天工作那麼辛苦，跟著我投資，以後我養你。 , 這很明顯是詐騙電話！直接掛斷即可，不要理會對方。 ,60
我是地檢署，你現在涉及詐欺，不要掛電話，立刻去銀行領錢。 , 這是詐騙電話！請直接掛斷電話，不要理會。 切勿提供任何個人資訊或前往銀行領錢。,80
喂？媽，是我啦！我的手機掉進水裡壞掉了，這是借朋友的手機打給你的。 , 這很可能是詐騙電話，不要輕易透露個人資訊或匯款。立刻掛斷電話，並撥打家人平常使用的電話確認安全。 ,80
網拍賣家通知：不好意思，工讀生把您的訂單誤植為批發商，會扣款12次。 , 這是典型的詐騙電話！請直接掛斷電話，不要理會任何指示或提供任何個人資訊。 ,80
我是監理站，您有一筆交通罰單逾期未繳，即將扣押您的駕照。 , 不要慌張，這是常見的詐騙電話！直接掛斷即可，切勿提供任何個人資訊。 ,80
姑姑，我現在急需用錢，不敢跟爸媽說，你能不能偷偷借我一萬？ , 這很可能是詐騙電話！不要輕易透露個人資訊或匯款給對方。 ,80
我是勞保局，您的勞保年金計算錯誤，多發了五萬元，請匯回指定帳戶。 , 這是一通詐騙電話！切勿匯款，直接掛斷電話並撥打165反詐騙專線報案。 ,80
我是國稅局，您有一筆退稅款項一直沒領，請去ATM操作領取。 , 這很可能是詐騙電話！不要相信，直接掛斷電話就好。 ,60
您的包裹涉嫌夾帶毒品，警方現在已經立案，請不要掛斷電話，轉接刑警。 , 這是詐騙電話！直接掛斷即可，千萬不要提供任何個人資訊或轉接電話。 ,80
喂？猜猜我是誰？聽不出來喔？我們很久沒見了耶，我是你老同學啦。 , 這很可能是詐騙電話！直接掛斷即可，不要與對方多說。 ,60
親愛的，不要聽你朋友亂說，他們是嫉妒我們賺錢，你要相信我。 , 這很可能是詐騙電話！直接掛斷電話，不要理會對方。 ,60
這個投資項目是保本高收益的，一個月利息就有10%，比定存好太多了。 , 這很可能是詐騙電話！不要相信這種高報酬的投資方案，切勿提供任何個人資訊或財務資料。 ,100
,7540
